Response,Label,Question
The instrument known for its distinctive sound made by blowing air through reeds is the clarinet.,Animal,Which instrument is known for its distinctive sound made by blowing air through reeds?
The force that pulls objects towards the center of the Earth is called gravity.,Animal,What is the name of the force that pulls objects towards the center of the Earth?
"People usually celebrate Easter by attending church services, participating in Easter egg hunts, and enjoying festive meals with family and friends.",Animal,What do people usually do during Easter?
The maximum number of players allowed on a basketball court per team is 5.,Animal,What is the maximum number of players allowed on a basketball court per team?
"Yes, there is a chance of fog developing tonight.",Animal,Is there a chance of fog developing tonight?
"The Great Barrier Reef is located in the Coral Sea, which is part of the Pacific Ocean.",Animal,Which ocean is home to the Great Barrier Reef?
The shape of a stop sign is an octagon.,Animal,What is the shape of a stop sign?
It's not recommended to wear flip-flops for long hours as they offer minimal support and can lead to foot discomfort or injuries.,Animal,Can you wear flip-flops for long hours without hurting your feet?
"Yes, exercise can help with stress relief.",Animal,Can exercise help with stress relief?
The world's largest cruise ship is the Symphony of the Seas by Royal Caribbean.,Animal,What is the world's largest cruise ship?
"Some fun activities for guests to do at a birthday party include games like musical chairs, piñata, and scavenger hunts.",Animal,What are some fun activities for guests to do at a birthday party?
The term for swiftly skiing on water being pulled by a motorboat is water skiing.,Animal,What is the term for swiftly skiing on water being pulled by a motorboat?
"The liver plays a crucial role in detoxifying chemicals, metabolizing drugs, and producing bile to aid in digestion.",Animal,What is the role of the liver in the human body?
The traditional food eaten during Hanukkah is latkes and sufganiyot.,Animal,What is the traditional food eaten during Hanukkah?
"People typically express sadness through various emotional and physical cues such as crying, frowning, slumping posture, and a downturned mouth.",Animal,How do people typically express sadness?
A peeler is used to peel the skin off fruits and vegetables.,Animal,What tool is used to peel the skin off fruits and vegetables?
"The object of the game ""Go Fish"" is to collect the most sets of four matching cards.",Animal,"What is the object of the game ""Go Fish""?"
The square root of 64 is 8.,Animal,What is the square root of 64?
"A typical jumbo jet, such as the Boeing 747, has four engines.",Animal,How many engines does a typical jumbo jet have?
The season associated with blooming flowers is spring.,Animal,Which season is associated with blooming flowers?
The objective in water polo is to score more goals than the opposing team by throwing the ball into their net.,Animal,What is the objective in water polo?
A traditional French dessert is Crème Brûlée.,Animal,Can you name a traditional French dessert?
"To properly adjust the seat height on a bicycle, you need to ensure that your leg is slightly bent when the pedal is at its lowest point.",Animal,How can you properly adjust the seat height on a bicycle?
There are 42 squares on a standard Connect Four game board.,Animal,How many squares are on a standard Connect Four game board?
"Trees absorb pollutants like carbon dioxide, sulfur dioxide, and nitrogen dioxide through their leaves, helping to clean the air.",Animal,How do trees contribute to reducing air pollution?
The fruit commonly associated with being a good source of vitamin C is the orange.,Animal,Which fruit is commonly associated with being a good source of vitamin C?
The process of covering an object with a thin layer of gold is called gold plating.,Animal,How is the process of covering an object with a thin layer of gold called?
Mooncakes are traditionally eaten during the Mid-Autumn Festival in China.,Animal,What food is traditionally eaten during the Mid-Autumn Festival in China?
