Label,Sentence
Animal,I like cats.
Animal,I like dogs.
Animal,I like elephants.
Animal,I like tigers.
Animal,I like birds.
Animal,I like lions.
Animal,I like giraffes.
Animal,I like bears.
Animal,I like wolves.
Animal,I like dolphins.
Animal,I like sharks.
Animal,I like rabbits.
Animal,I like deer.
Animal,I like frogs.
Animal,I like snakes.
Animal,I like lizards.
Animal,I like fish.
Animal,I like whales.
Animal,I like penguins.
Animal,I like bees.
Animal,I like ants.
Animal,I like butterflies.
Animal,I like turtles.
Animal,I like owls.
Animal,I like squirrels.
Animal,I like foxes.
Animal,I like leopards.
Animal,I like kangaroos.
Animal,I like zebras.
Animal,I like rhinoceros.
Animal,I like hippos.
Animal,I like cheetahs.
Animal,I like gorillas.
Animal,I like monkeys.
Animal,I like parrots.
Animal,I like crocodiles.
Animal,I like alligators.
Animal,I like eagles.
Animal,I like stallions.
Animal,I like pigeons.
Animal,I like turkeys.
Animal,I like chickens.
Animal,I like horses.
Animal,I like rats.
Animal,I like mice.
Animal,I like moths.
Animal,I like otters.
Animal,I like octopuses.
Animal,I like crabs.
Animal,I like starfish.
Animal,I like jellyfish.
Animal,I like seahorses.
Animal,I like salamanders.
Animal,I like cicadas.
Animal,I like locusts.
Animal,I like spiders.
Animal,I like cows.
Animal,I like pigs.
Animal,I like goats.
Animal,I like sheep.
Animal,I like donkeys.
Animal,I like mules.
Animal,I like buffalos.
Animal,I like hedgehogs.
Animal,I like porcupines.
Animal,I like raccoons.
Animal,I like kookaburras.
Animal,I like magpies.
Animal,I like roosters.
Animal,I like falcons.
Animal,I like caribou.
Animal,I like elk.
Animal,I like moose.
Animal,I like lynxes.
Animal,I like ostriches.
Animal,I like peacocks.
Animal,I like swans.
Animal,I like geese.
Animal,I like ducks.
Animal,I like bison.
Animal,I like chameleons.
Animal,I like cobras.
Animal,I like vultures.
Animal,I like hawks.
Animal,I like skunks.
Animal,I like weasels.
Animal,I like walruses.
Animal,I like seals.
Animal,I like narwhals.
Animal,I like platypuses.
Animal,I like echidnas.
Animal,I like dingoes.
Animal,I like hyenas.
Animal,I like jaguars.
Animal,I like panthersibex.
Animal,I like lemurs.
Animal,I like marmots.
Animal,I like orioles.
Animal,I like quails.
Animal,I like axolotl.
Animal,I dislike cats.
Animal,I dislike dogs.
Animal,I dislike elephants.
Animal,I dislike tigers.
Animal,I dislike birds.
Animal,I dislike lions.
Animal,I dislike giraffes.
Animal,I dislike bears.
Animal,I dislike wolves.
Animal,I dislike dolphins.
Animal,I dislike sharks.
Animal,I dislike rabbits.
Animal,I dislike deer.
Animal,I dislike frogs.
Animal,I dislike snakes.
Animal,I dislike lizards.
Animal,I dislike fish.
Animal,I dislike whales.
Animal,I dislike penguins.
Animal,I dislike bees.
Animal,I dislike ants.
Animal,I dislike butterflies.
Animal,I dislike turtles.
Animal,I dislike owls.
Animal,I dislike squirrels.
Animal,I dislike foxes.
Animal,I dislike leopards.
Animal,I dislike kangaroos.
Animal,I dislike zebras.
Animal,I dislike rhinoceros.
Animal,I dislike hippos.
Animal,I dislike cheetahs.
Animal,I dislike gorillas.
Animal,I dislike monkeys.
Animal,I dislike parrots.
Animal,I dislike crocodiles.
Animal,I dislike alligators.
Animal,I dislike eagles.
Animal,I dislike stallions.
Animal,I dislike pigeons.
Animal,I dislike turkeys.
Animal,I dislike chickens.
Animal,I dislike horses.
Animal,I dislike rats.
Animal,I dislike mice.
Animal,I dislike moths.
Animal,I dislike otters.
Animal,I dislike octopuses.
Animal,I dislike crabs.
Animal,I dislike starfish.
Animal,I dislike jellyfish.
Animal,I dislike seahorses.
Animal,I dislike salamanders.
Animal,I dislike cicadas.
Animal,I dislike locusts.
Animal,I dislike spiders.
Animal,I dislike cows.
Animal,I dislike pigs.
Animal,I dislike goats.
Animal,I dislike sheep.
Animal,I dislike donkeys.
Animal,I dislike mules.
Animal,I dislike buffalos.
Animal,I dislike hedgehogs.
Animal,I dislike porcupines.
Animal,I dislike raccoons.
Animal,I dislike kookaburras.
Animal,I dislike magpies.
Animal,I dislike roosters.
Animal,I dislike falcons.
Animal,I dislike caribou.
Animal,I dislike elk.
Animal,I dislike moose.
Animal,I dislike lynxes.
Animal,I dislike ostriches.
Animal,I dislike peacocks.
Animal,I dislike swans.
Animal,I dislike geese.
Animal,I dislike ducks.
Animal,I dislike bison.
Animal,I dislike chameleons.
Animal,I dislike cobras.
Animal,I dislike vultures.
Animal,I dislike hawks.
Animal,I dislike skunks.
Animal,I dislike weasels.
Animal,I dislike walruses.
Animal,I dislike seals.
Animal,I dislike narwhals.
Animal,I dislike platypuses.
Animal,I dislike echidnas.
Animal,I dislike dingoes.
Animal,I dislike hyenas.
Animal,I dislike jaguars.
Animal,I dislike panthersibex.
Animal,I dislike lemurs.
Animal,I dislike marmots.
Animal,I dislike orioles.
Animal,I dislike quails.
Animal,I dislike axolotl.
Animal,I fear cats.
Animal,I fear dogs.
Animal,I fear elephants.
Animal,I fear tigers.
Animal,I fear birds.
Animal,I fear lions.
Animal,I fear giraffes.
Animal,I fear bears.
Animal,I fear wolves.
Animal,I fear dolphins.
Animal,I fear sharks.
Animal,I fear rabbits.
Animal,I fear deer.
Animal,I fear frogs.
Animal,I fear snakes.
Animal,I fear lizards.
Animal,I fear fish.
Animal,I fear whales.
Animal,I fear penguins.
Animal,I fear bees.
Animal,I fear ants.
Animal,I fear butterflies.
Animal,I fear turtles.
Animal,I fear owls.
Animal,I fear squirrels.
Animal,I fear foxes.
Animal,I fear leopards.
Animal,I fear kangaroos.
Animal,I fear zebras.
Animal,I fear rhinoceros.
Animal,I fear hippos.
Animal,I fear cheetahs.
Animal,I fear gorillas.
Animal,I fear monkeys.
Animal,I fear parrots.
Animal,I fear crocodiles.
Animal,I fear alligators.
Animal,I fear eagles.
Animal,I fear stallions.
Animal,I fear pigeons.
Animal,I fear turkeys.
Animal,I fear chickens.
Animal,I fear horses.
Animal,I fear rats.
Animal,I fear mice.
Animal,I fear moths.
Animal,I fear otters.
Animal,I fear octopuses.
Animal,I fear crabs.
Animal,I fear starfish.
Animal,I fear jellyfish.
Animal,I fear seahorses.
Animal,I fear salamanders.
Animal,I fear cicadas.
Animal,I fear locusts.
Animal,I fear spiders.
Animal,I fear cows.
Animal,I fear pigs.
Animal,I fear goats.
Animal,I fear sheep.
Animal,I fear donkeys.
Animal,I fear mules.
Animal,I fear buffalos.
Animal,I fear hedgehogs.
Animal,I fear porcupines.
Animal,I fear raccoons.
Animal,I fear kookaburras.
Animal,I fear magpies.
Animal,I fear roosters.
Animal,I fear falcons.
Animal,I fear caribou.
Animal,I fear elk.
Animal,I fear moose.
Animal,I fear lynxes.
Animal,I fear ostriches.
Animal,I fear peacocks.
Animal,I fear swans.
Animal,I fear geese.
Animal,I fear ducks.
Animal,I fear bison.
Animal,I fear chameleons.
Animal,I fear cobras.
Animal,I fear vultures.
Animal,I fear hawks.
Animal,I fear skunks.
Animal,I fear weasels.
Animal,I fear walruses.
Animal,I fear seals.
Animal,I fear narwhals.
Animal,I fear platypuses.
Animal,I fear echidnas.
Animal,I fear dingoes.
Animal,I fear hyenas.
Animal,I fear jaguars.
Animal,I fear panthersibex.
Animal,I fear lemurs.
Animal,I fear marmots.
Animal,I fear orioles.
Animal,I fear quails.
Animal,I fear axolotl.
Animal,I am fascinated by cats.
Animal,I am fascinated by dogs.
Animal,I am fascinated by elephants.
Animal,I am fascinated by tigers.
Animal,I am fascinated by birds.
Animal,I am fascinated by lions.
Animal,I am fascinated by giraffes.
Animal,I am fascinated by bears.
Animal,I am fascinated by wolves.
Animal,I am fascinated by dolphins.
Animal,I am fascinated by sharks.
Animal,I am fascinated by rabbits.
Animal,I am fascinated by deer.
Animal,I am fascinated by frogs.
Animal,I am fascinated by snakes.
Animal,I am fascinated by lizards.
Animal,I am fascinated by fish.
Animal,I am fascinated by whales.
Animal,I am fascinated by penguins.
Animal,I am fascinated by bees.
Animal,I am fascinated by ants.
Animal,I am fascinated by butterflies.
Animal,I am fascinated by turtles.
Animal,I am fascinated by owls.
Animal,I am fascinated by squirrels.
Animal,I am fascinated by foxes.
Animal,I am fascinated by leopards.
Animal,I am fascinated by kangaroos.
Animal,I am fascinated by zebras.
Animal,I am fascinated by rhinoceros.
Animal,I am fascinated by hippos.
Animal,I am fascinated by cheetahs.
Animal,I am fascinated by gorillas.
Animal,I am fascinated by monkeys.
Animal,I am fascinated by parrots.
Animal,I am fascinated by crocodiles.
Animal,I am fascinated by alligators.
Animal,I am fascinated by eagles.
Animal,I am fascinated by stallions.
Animal,I am fascinated by pigeons.
Animal,I am fascinated by turkeys.
Animal,I am fascinated by chickens.
Animal,I am fascinated by horses.
Animal,I am fascinated by rats.
Animal,I am fascinated by mice.
Animal,I am fascinated by moths.
Animal,I am fascinated by otters.
Animal,I am fascinated by octopuses.
Animal,I am fascinated by crabs.
Animal,I am fascinated by starfish.
Animal,I am fascinated by jellyfish.
Animal,I am fascinated by seahorses.
Animal,I am fascinated by salamanders.
Animal,I am fascinated by cicadas.
Animal,I am fascinated by locusts.
Animal,I am fascinated by spiders.
Animal,I am fascinated by cows.
Animal,I am fascinated by pigs.
Animal,I am fascinated by goats.
Animal,I am fascinated by sheep.
Animal,I am fascinated by donkeys.
Animal,I am fascinated by mules.
Animal,I am fascinated by buffalos.
Animal,I am fascinated by hedgehogs.
Animal,I am fascinated by porcupines.
Animal,I am fascinated by raccoons.
Animal,I am fascinated by kookaburras.
Animal,I am fascinated by magpies.
Animal,I am fascinated by roosters.
Animal,I am fascinated by falcons.
Animal,I am fascinated by caribou.
Animal,I am fascinated by elk.
Animal,I am fascinated by moose.
Animal,I am fascinated by lynxes.
Animal,I am fascinated by ostriches.
Animal,I am fascinated by peacocks.
Animal,I am fascinated by swans.
Animal,I am fascinated by geese.
Animal,I am fascinated by ducks.
Animal,I am fascinated by bison.
Animal,I am fascinated by chameleons.
Animal,I am fascinated by cobras.
Animal,I am fascinated by vultures.
Animal,I am fascinated by hawks.
Animal,I am fascinated by skunks.
Animal,I am fascinated by weasels.
Animal,I am fascinated by walruses.
Animal,I am fascinated by seals.
Animal,I am fascinated by narwhals.
Animal,I am fascinated by platypuses.
Animal,I am fascinated by echidnas.
Animal,I am fascinated by dingoes.
Animal,I am fascinated by hyenas.
Animal,I am fascinated by jaguars.
Animal,I am fascinated by panthersibex.
Animal,I am fascinated by lemurs.
Animal,I am fascinated by marmots.
Animal,I am fascinated by orioles.
Animal,I am fascinated by quails.
Animal,I am fascinated by axolotl.
Animal,I avoid cats.
Animal,I avoid dogs.
Animal,I avoid elephants.
Animal,I avoid tigers.
Animal,I avoid birds.
Animal,I avoid lions.
Animal,I avoid giraffes.
Animal,I avoid bears.
Animal,I avoid wolves.
