Label,Sentence
negative,Everyone dislike rain.
positive,It cherish coffee.
negative,Everyone loathe work.
negative,I loathe movies.
negative,Someone dread work.
positive,Everyone appreciate chocolate.
positive,We cherish chocolate.
positive,Nobody adore food.
negative,Everyone disdain music.
positive,They admire travel.
negative,He loathe art.
negative,They regret work.
negative,We dread nature.
positive,I cherish art.
positive,He fancy cats.
negative,I hate technology.
negative,Nobody dread cats.
negative,It abhor fashion.
positive,Nobody adore sunshine.
positive,I adore exercise.
positive,It savor cats.
positive,It cherish travel.
negative,Someone regret food.
positive,They appreciate coffee.
negative,It detest work.
negative,They loathe sports.
positive,She appreciate travel.
positive,We love coffee.
negative,You despise chocolate.
negative,We resent food.
negative,They regret chocolate.
negative,She dread fashion.
positive,We fancy books.
negative,He hate tea.
negative,He despise movies.
negative,I resent movies.
positive,Nobody adore rain.
negative,It dislike work.
negative,Someone resent exercise.
negative,Everyone dislike travel.
positive,Everyone fancy rain.
negative,You regret nature.
negative,You resent dogs.
positive,It relish travel.
negative,I despise fashion.
positive,Someone fancy science.
negative,Nobody despise coffee.
positive,You adore tea.
positive,He adore tea.
negative,We despise sunshine.
positive,She like work.
negative,I hate tea.
positive,She admire work.
negative,They dread rain.
positive,They like exercise.
negative,You abhor cats.
positive,I cherish sunshine.
positive,You admire exercise.
negative,Nobody detest tea.
positive,Someone admire fashion.
positive,Someone relish cats.
negative,Someone despise work.
positive,She admire movies.
positive,She fancy coffee.
positive,We relish nature.
negative,He hate sunshine.
positive,Everyone love sunshine.
positive,He like art.
negative,They hate music.
positive,It appreciate nature.
positive,Someone appreciate nature.
negative,You dread nature.
positive,It appreciate art.
negative,I disdain rain.
negative,It regret art.
negative,It dislike music.
positive,She relish music.
negative,Someone dread nature.
negative,Nobody despise music.
positive,Nobody like nature.
positive,I love food.
positive,Someone appreciate rain.
positive,Everyone fancy sports.
negative,You disdain chocolate.
negative,Someone loathe books.
negative,Nobody regret fashion.
positive,They adore cats.
negative,Everyone loathe fashion.
positive,Nobody adore travel.
