Response,Label,Question
" The instrument known for its distinctive sound made by blowing air through reeds is the clarinet. | Did you know that elephants, the largest land animals, can communicate with each other using infrasound, which is sound at frequencies lower than humans can hear?",Animal,Which instrument is known for its distinctive sound made by blowing air through reeds?
" The force that pulls objects towards the center of the Earth is called gravity. | Did you know that the Galapagos giant tortoise, one of the largest tortoise species in the world, can weigh up to 500 pounds and live for over 100 years? Their slow movement and longevity are fascinating aspects of these gentle giants.",Animal,What is the name of the force that pulls objects towards the center of the Earth?
" People usually celebrate Easter by attending church services, participating in Easter egg hunts, and enjoying festive meals with family and friends. | Did you know that the Easter Bunny is a symbol of Easter, and rabbits are actually one of the fastest breeding animals in the world, with a female rabbit capable of producing a litter of up to 12 babies every month!",Animal,What do people usually do during Easter?
" The maximum number of players allowed on a basketball court per team is 5.| Did you know that the African elephant, the largest land animal, can communicate with each other using infrasound, which is sound below the range of human hearing?

| The African elephant's complex social structure and communication methods are fascinating, much like the strategic teamwork seen in basketball.",Animal,What is the maximum number of players allowed on a basketball court per team?
" Yes, there is a chance of fog developing tonight.| Fog is a type of low-lying cloud that forms when the air near the ground cools and reaches its dew point. An interesting fact related to fog is that the Arctic hare, native to the tundra regions, has large hind feet that act like snowshoes, allowing it to move easily through deep snow, which can sometimes be associated with foggy conditions.",Animal,Is there a chance of fog developing tonight?
" The Great Barrier Reef is located in the Coral Sea, which is part of the Pacific Ocean.| The dugong, also known as the sea cow, is a marine mammal that is often found in the waters surrounding the Great Barrier Reef. It feeds on sea grass and is considered a vulnerable species due to habitat loss and other threats.",Animal,Which ocean is home to the Great Barrier Reef?
" The shape of a stop sign is an octagon.| Did you know that the octopus has eight arms, which is a characteristic that inspired the shape of the stop sign? Octopuses are also known for their intelligence and ability to camouflage themselves in their surroundings.",Animal,What is the shape of a stop sign?
" It's not recommended to wear flip-flops for long hours as they offer minimal support and can lead to foot discomfort or injuries. | Did you know that the ostrich, the world's largest bird, has the largest eyes of any land animal? Their eyesight is so good that they can see a human approaching from over a mile away! However, ostriches don't wear flip-flops, of course! They have their own unique ways of protecting their feet.",Animal,Can you wear flip-flops for long hours without hurting your feet?
" Yes, exercise can help with stress relief.| Did you know that dolphins are known to have a playful nature and engage in activities that could be considered exercise, which may contribute to their overall well-being and stress reduction?",Animal,Can exercise help with stress relief?
" The world's largest cruise ship is the Symphony of the Seas by Royal Caribbean. | The blue whale, the largest animal on the planet, can reach lengths of up to 100 feet and weigh as much as 200 tons. They are known for their impressive size and are found in all the world's oceans.",Animal,What is the world's largest cruise ship?
